combo,phase,freshness,fresh_pct_of_clock
World Cup 2026/27,pre_last_hour,63,99.6014066951567
World Cup 2026/27,pre_last_hour,64,99.61600783475784
World Cup 2026/27,pre_last_hour,65,99.62971866096866
World Cup 2026/27,pre_last_hour,66,99.64307336182335
World Cup 2026/27,pre_last_hour,67,99.65562678062678
World Cup 2026/27,pre_last_hour,68,99.6679131054131
World Cup 2026/27,pre_last_hour,69,99.67975427350429
World Cup 2026/27,pre_last_hour,70,99.69079415954415
World Cup 2026/27,pre_last_hour,71,99.70138888888889
World Cup 2026/27,pre_last_hour,72,99.71180555555556
World Cup 2026/27,pre_last_hour,73,99.72150997150996
World Cup 2026/27,pre_last_hour,74,99.73094729344729
World Cup 2026/27,pre_last_hour,75,99.73985042735043
World Cup 2026/27,pre_last_hour,76,99.74848646723646
World Cup 2026/27,pre_last_hour,77,99.7571225071225
World Cup 2026/27,pre_last_hour,78,99.76540242165242
World Cup 2026/27,pre_last_hour,79,99.77297008547008
World Cup 2026/27,pre_last_hour,80,99.78000356125357
World Cup 2026/27,pre_last_hour,81,99.78659188034187
World Cup 2026/27,pre_last_hour,82,99.79300213675214
World Cup 2026/27,pre_last_hour,83,99.79923433048432
World Cup 2026/27,pre_last_hour,84,99.8053774928775
World Cup 2026/27,pre_last_hour,85,99.8108084045584
World Cup 2026/27,pre_last_hour,86,99.81588319088318
World Cup 2026/27,pre_last_hour,87,99.82095797720798
World Cup 2026/27,pre_last_hour,88,99.82603276353277
World Cup 2026/27,pre_last_hour,89,99.83110754985756
World Cup 2026/27,pre_last_hour,90,99.83591524216524
World Cup 2026/27,pre_last_hour,91,99.84027777777776
World Cup 2026/27,pre_last_hour,92,99.84464031339031
World Cup 2026/27,pre_last_hour,93,99.8489138176638
World Cup 2026/27,pre_last_hour,94,99.8530982905983
World Cup 2026/27,pre_last_hour,95,99.85701566951568
World Cup 2026/27,pre_last_hour,96,99.86093304843304
World Cup 2026/27,pre_last_hour,97,99.8647613960114
World Cup 2026/27,pre_last_hour,98,99.86832264957263
World Cup 2026/27,pre_last_hour,99,99.87179487179488
World Cup 2026/27,pre_last_hour,100,99.87508903133904
World Cup 2026/27,pre_last_hour,101,99.87829415954415
World Cup 2026/27,pre_last_hour,102,99.88114316239316
World Cup 2026/27,pre_last_hour,103,99.883547008547
World Cup 2026/27,pre_last_hour,104,99.88586182336182
World Cup 2026/27,pre_last_hour,105,99.88799857549856
World Cup 2026/27,pre_last_hour,106,99.89004629629628
World Cup 2026/27,pre_last_hour,107,99.89209401709402
World Cup 2026/27,pre_last_hour,108,99.89414173789174
World Cup 2026/27,pre_last_hour,109,99.89618945868946
World Cup 2026/27,pre_last_hour,110,99.89823717948718
World Cup 2026/27,pre_last_hour,111,99.9002849002849
World Cup 2026/27,pre_last_hour,112,99.90215455840456
World Cup 2026/27,pre_last_hour,113,99.9039351851852
World Cup 2026/27,pre_last_hour,114,99.9057158119658
World Cup 2026/27,pre_last_hour,115,99.90749643874643
World Cup 2026/27,pre_last_hour,116,99.90927706552706
World Cup 2026/27,pre_last_hour,117,99.9110576923077
World Cup 2026/27,pre_last_hour,118,99.91283831908832
World Cup 2026/27,pre_last_hour,119,99.91461894586897
World Cup 2026/27,pre_last_hour,120,99.91639957264957
World Cup 2026/27,pre_last_hour,121,99.91809116809117
World Cup 2026/27,pre_last_hour,122,99.91978276353277
World Cup 2026/27,pre_last_hour,123,99.92147435897436
World Cup 2026/27,pre_last_hour,124,99.92307692307692
World Cup 2026/27,pre_last_hour,125,99.92467948717947
World Cup 2026/27,pre_last_hour,126,99.92628205128206
World Cup 2026/27,pre_last_hour,127,99.9278846153846
World Cup 2026/27,pre_last_hour,128,99.92939814814817
World Cup 2026/27,pre_last_hour,129,99.93091168091168
World Cup 2026/27,pre_last_hour,130,99.93224715099716
World Cup 2026/27,pre_last_hour,131,99.93358262108262
World Cup 2026/27,pre_last_hour,132,99.93491809116809
World Cup 2026/27,pre_last_hour,133,99.93625356125357
World Cup 2026/27,pre_last_hour,134,99.93758903133904
World Cup 2026/27,pre_last_hour,135,99.9389245014245
World Cup 2026/27,pre_last_hour,136,99.94017094017094
World Cup 2026/27,pre_last_hour,137,99.94141737891738
World Cup 2026/27,pre_last_hour,138,99.94257478632478
World Cup 2026/27,pre_last_hour,139,99.94364316239316
World Cup 2026/27,pre_last_hour,140,99.94471153846152
World Cup 2026/27,pre_last_hour,141,99.94569088319088
World Cup 2026/27,pre_last_hour,142,99.9465811965812
World Cup 2026/27,pre_last_hour,143,99.9474715099715
World Cup 2026/27,pre_last_hour,144,99.94836182336182
World Cup 2026/27,pre_last_hour,145,99.94925213675214
World Cup 2026/27,pre_last_hour,146,99.95014245014244
World Cup 2026/27,pre_last_hour,147,99.95103276353277
World Cup 2026/27,pre_last_hour,148,99.95174501424502
World Cup 2026/27,pre_last_hour,149,99.95245726495726
World Cup 2026/27,pre_last_hour,150,99.95316951566952
World Cup 2026/27,pre_last_hour,151,99.95388176638176
World Cup 2026/27,pre_last_hour,152,99.95459401709402
World Cup 2026/27,pre_last_hour,153,99.95530626780626
World Cup 2026/27,pre_last_hour,154,99.95584045584046
World Cup 2026/27,pre_last_hour,155,99.95637464387464
World Cup 2026/27,pre_last_hour,156,99.95690883190883
World Cup 2026/27,pre_last_hour,157,99.957443019943
World Cup 2026/27,pre_last_hour,158,99.9579772079772
World Cup 2026/27,pre_last_hour,159,99.9585113960114
World Cup 2026/27,pre_last_hour,160,99.95904558404558
World Cup 2026/27,pre_last_hour,161,99.95957977207978
World Cup 2026/27,pre_last_hour,162,99.96011396011396
World Cup 2026/27,pre_last_hour,163,99.96064814814817
