cell,direction,freshness,n,pos_pct,open_pct_of_clock,open_pct_of_fresh,mean_net_c,time_mean_net_c,both_fresh_pct,k_only_pct_of_clock,pm_only_pct_of_clock
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,34,244798,73.38254397503248,24.930013157526385,75.95082993461845,0.9973340663139723,1.09654325058394,32.81660647798214,14.705299403712104,19.433246549648665
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,35,246266,73.39177962041045,25.390414602054815,75.98713120556978,0.9980175481643446,1.0992644332933554,33.40673553371966,14.675261050922426,19.443324654964865
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,36,247602,73.39561069781342,25.849248341311835,76.02294451918438,0.9992943095534647,1.1019736293625926,33.9944290473391,14.633380924386216,19.455698328714206
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,37,248921,73.41204639222886,26.29008146468464,76.05708403624728,1.0005950313625904,1.1047167834198006,34.55880294504634,14.600599087371574,19.459001707678954
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,38,250164,73.42103580051486,26.72959883541894,76.09105029155506,1.0028696808143436,1.1074383174253686,35.121105232216344,14.556451387139216,19.46434870244394
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,39,251400,73.44073190135242,27.15419501133787,76.12357764922764,1.0034183311420894,1.1099748076546203,35.66406315612665,14.518574507992499,19.45930964978584
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,40,252582,73.4513940027397,27.57814730830604,76.15788521571338,1.0024862149390887,1.1123968763006986,36.20483749055178,14.470451555107642,19.456454186612916
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,41,253652,73.46009493321559,27.987822289409593,76.19185887000896,1.0040351148606994,1.1145924061779025,36.72657540382408,14.429019344363258,19.445928165504885
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,42,254695,73.46630283280001,28.39517370734302,76.2243721640482,1.0033798845748834,1.1168279289417158,37.2456258223454,14.37896475462613,19.43806164441085
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,43,255781,73.46949147903871,28.78721200414322,76.25416472936767,1.004356220639067,1.1189286764316897,37.74552784076593,14.337112622826906,19.423812323283222
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,44,256736,73.4672971457061,29.177514627250076,76.28299619262033,1.0048587149292882,1.1209845775331628,38.24319028022732,14.286414154139024,19.41177458637776
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,45,257728,73.47630059597715,29.55524761344867,76.30974263045023,1.0063321456285168,1.122923527992632,38.72511967750063,14.241118669690097,19.394417849444306
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,46,258650,73.4722598105548,29.93228073122253,76.33715372154074,1.0068271868223808,1.1248018333177396,39.205453374765554,14.18790067467316,19.378628817782257
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,47,259582,73.48044163308704,30.297444080512864,76.36324251400251,1.008281414072924,1.1266834302813042,39.6705579351082,14.140925506004871,19.357324822933286
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,48,260474,73.49409154080638,30.661151703479746,76.38866996516904,1.0095027420590625,1.1286333692483117,40.13373085859858,14.086783684667283,19.33786848072562
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,49,261310,73.51000727105736,31.015817026399038,76.41437664798235,1.011633422340849,1.130601863525135,40.58458609781361,14.036897063352091,19.31228129111727
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,50,262129,73.51609322127655,31.36939055457574,76.43920484661284,1.0123621643178546,1.1325317623967843,41.034265558075084,13.980655636740295,19.28786988046247
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,51,262937,73.51989259784663,31.71288597743624,76.46453710178658,1.0124510164056848,1.1344607498707782,41.470255591948714,13.929145320679712,19.260015117157973
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,52,263731,73.52377991210741,32.055345595028136,76.48947696796664,1.0131110830171204,1.1363466918153757,41.90481789423588,13.871532151955433,19.23361608017693
